,article_id,authorid,authorname,authorurl,paperId,doi,title,citing_venue,year,intent,isInfluential
0,10.5455/aim.2012.20.47-55,8845450,Y. Alomi,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,False
1,10.5455/aim.2012.20.47-55,2087850023,A. Alshammari,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,False
2,10.5455/aim.2012.20.47-55,2123930061,Juman saad Mohammad Alsaab,,4ebd898427bce37f6fb9ae82b49f2a7acdff68b6,10.5530/PTB.2021.7.6,Analysis of Practice of Drug Information Resources by Dentists in Saudi Arabia,,2021,,False
3,10.5455/aim.2012.20.47-55,1422163398,Šeila Cilović-Lagarija,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
4,10.5455/aim.2012.20.47-55,15255970,Nino Hasanica,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
5,10.5455/aim.2012.20.47-55,2136490772,Elma Begovic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
6,10.5455/aim.2012.20.47-55,2138578532,Adisa Pestek,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
7,10.5455/aim.2012.20.47-55,2139885576,Ahmetagic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
8,10.5455/aim.2012.20.47-55,49575308,M. Radojicic,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
9,10.5455/aim.2012.20.47-55,1422245755,A. Ramić-Čatak,,9e14123595854f2362116dfc0ef148491625fcdf,10.5455/aim.2021.29.205-209,Dental Recordkeeping: Practice in Federation of Bosnia and Herzegovina,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,2021,background,True
